DISBURSED_AMOUNT,LTV,PERFORM_CNS_SCORE,NO_OF_INQUIRIES,CREDIT_SCORE,RISK_TIER,UNDERWRITING_ACTION
49538.0,77.46,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
67882.0,51.73,0.0,0.0,605,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
65789.0,69.91,705.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
48303.0,79.92,684.0,0.0,610,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
60713.0,77.5,811.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
78079.0,85.75,0.0,0.0,587,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
71017.0,72.46,0.0,0.0,592,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
54373.0,68.35,0.0,0.0,604,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
58707.0,65.76,380.0,0.0,602,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
32984.0,47.11,0.0,0.0,623,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
55800.0,42.19,375.0,0.0,622,Tier 1 (Subprime Elite - Low Risk),AUTO-APPROVE (Standard Rate)
44349.0,71.06,0.0,0.0,600,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
53578.0,76.68,0.0,0.0,594,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
55413.0,71.17,775.0,0.0,608,Tier 2 (Subprime Standard),AUTO-APPROVE (Add 1.5% Risk Premium)
55599.0,83.29,0.0,0.0,595,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
60879.0,85.0,0.0,0.0,593,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
57313.0,79.97,300.0,0.0,597,Tier 3 (Subprime Hardened),MANUAL REVIEW (Require Proof of Income)
